"address_id","address","address2","district","city_id","postal_code","phone","city_city","city_country_id","country_country"
"57","17 Kabul Boulevard","","Chiba","355","38594","697760867968","Nagareyama","50","Japan"
"58","1964 Allappuzha (Alleppey) Street","","Yamaguchi","227","48980","920811325222","Iwakuni","50","Japan"
"59","1697 Kowloon and New Kowloon Loop","","Moskova","49","57807","499352017190","Balašiha","80","Russian Federation"
"60","1668 Saint Louis Place","","Tahiti","397","39072","347487831378","Papeete","36","French Polynesia"
"61","943 Tokat Street","","Vaduz","560","45428","889318963672","Vaduz","55","Liechtenstein"
"62","1114 Liepaja Street","","Sarawak","282","69226","212869228936","Kuching","59","Malaysia"
"63","1213 Ranchi Parkway","","Karnataka","350","94352","800024380485","Mysore","44","India"
"64","81 Hodeida Way","","Rajasthan","231","55561","250767749542","Jaipur","44","India"
"65","915 Ponce Place","","Basel-Stadt","56","83980","1395251317","Basel","91","Switzerland"
"66","1717 Guadalajara Lane","","Missouri","441","85505","914090181665","Saint Louis","103","United States"
"67","1214 Hanoi Way","","Nebraska","306","67055","491001136577","Lincoln","103","United States"
"68","1966 Amroha Avenue","","Sichuan","139","70385","333489324603","Daxian","23","China"
"69","698 Otsu Street","","Cayenne","105","71110","409983924481","Cayenne","35","French Guiana"
"70","1150 Kimchon Manor","","Skne ln","321","96109","663449333709","Malmö","90","Sweden"
"71","1586 Guarujá Place","","Hunan","579","5135","947233365992","Xi´angtan","23","China"
"72","57 Arlington Manor","","Madhya Pradesh","475","48960","990214419142","Shivapuri","44","India"
"73","1031 Daugavpils Parkway","","Béchar","63","59025","107137400143","Béchar","2","Algeria"
"74","1124 Buenaventura Drive","","Mekka","13","6856","407733804223","al-Hawiya","82","Saudi Arabia"
"75","492 Cam Ranh Street","","Eastern Visayas","61","50805","565018274456","Baybay","75","Philippines"
"76","89 Allappuzha (Alleppey) Manor","","National Capital Reg","517","75444","255800440636","Taguig","75","Philippines"
"77","1947 Poços de Caldas Boulevard","","Chiayi","114","60951","427454485876","Chiayi","92","Taiwan"
"78","1206 Dos Quebradas Place","","São Paulo","431","20207","241832790687","Rio Claro","15","Brazil"
"79","1551 Rampur Lane","","Changhwa","108","72394","251164340471","Changhwa","92","Taiwan"
"80","602 Paarl Street","","Pavlodar","402","98889","896314772871","Pavlodar","51","Kazakstan"
"81","1692 Ede Loop","","São Paulo","30","9223","918711376618","Araçatuba","15","Brazil"
"82","936 Salzburg Lane","","Uttar Pradesh","425","96709","875756771675","Rae Bareli","44","India"
"83","586 Tete Way","","Kanagawa","256","1079","18581624103","Kamakura","50","Japan"
"84","1888 Kabul Drive","","Oyo & Osun","217","20936","701457319790","Ife","69","Nigeria"
"85","320 Baiyin Parkway","","Mahajanga","319","37307","223664661973","Mahajanga","57","Madagascar"
"86","927 Bahía Blanca Parkway","","Krim","479","9495","821972242086","Simferopol","100","Ukraine"
"87","929 Tallahassee Loop","","Gauteng","497","74671","800716535041","Springs","85","South Africa"
"88","125 Città del Vaticano Boulevard","","Puebla","40","67912","48417642933","Atlixco","60","Mexico"
"89","1557 Kütahya Boulevard","","England","88","88002","720998247660","Bradford","102","United Kingdom"
"90","870 Ashqelon Loop","","Songkhla","489","84931","135117278909","Songkhla","94","Thailand"
"91","1740 Portoviejo Avenue","","Sucre","480","29932","198123170793","Sincelejo","24","Colombia"
"92","1942 Ciparay Parkway","","Cheju","113","82624","978987363654","Cheju","86","South Korea"
"93","1926 El Alto Avenue","","Buenos Aires","289","75543","846225459260","La Plata","6","Argentina"
"94","1952 Chatsworth Drive","","Guangdong","332","25958","991562402283","Meixian","23","China"
"95","1370 Le Mans Avenue","","Brunei and Muara","53","52163","345679835036","Bandar Seri Begawan","16","Brunei"
"96","984 Effon-Alaiye Avenue","","Gois","183","17119","132986892228","Goiânia","15","Brazil"
"97","832 Nakhon Sawan Manor","","Inner Mongolia","592","49021","275595571388","Zalantun","23","China"
"98","152 Kitwe Parkway","","Caraga","82","53182","835433605312","Bislig","75","Philippines"
"99","1697 Tanauan Lane","","Punjab","399","22870","4764773857","Pathankot","44","India"
"100","1308 Arecibo Way","","Georgia","41","30695","6171054059","Augusta-Richmond County","103","United States"
"101","1599 Plock Drive","","Tete","534","71986","817248913162","Tete","63","Mozambique"
"102","669 Firozabad Loop","","Abu Dhabi","12","92265","412903167998","al-Ayn","101","United Arab Emirates"
"103","588 Vila Velha Manor","","Kyongsangbuk","268","51540","333339908719","Kimchon","86","South Korea"
"104","1913 Kamakura Place","","Lipetsk","238","97287","942570536750","Jelets","80","Russian Federation"
"105","733 Mandaluyong Place","","Asir","2","77459","196568435814","Abha","82","Saudi Arabia"
"106","659 Vaduz Drive","","Ha Darom","34","49708","709935135487","Ashdod","48","Israel"
"107","1177 Jelets Way","","Kwara & Kogi","220","3305","484292626944","Ilorin","69","Nigeria"
"108","1386 Yangor Avenue","","Provence-Alpes-Cte","543","80720","449216226468","Toulon","34","France"
"109","454 Nakhon Sawan Boulevard","","Funafuti","173","76383","963887147572","Funafuti","99","Tuvalu"
"110","1867 San Juan Bautista Tuxtepec Avenue","","Ivanovo","225","78311","547003310357","Ivanovo","80","Russian Federation"
"111","1532 Dzerzinsk Way","","Buenos Aires","334","9599","330838016880","Merlo","6","Argentina"
"112","1002 Ahmadnagar Manor","","Mxico","213","93026","371490777743","Huixquilucan","60","Mexico"
"113","682 Junan Way","","North West","273","30418","622255216127","Klerksdorp","85","South Africa"
"114","804 Elista Drive","","Hubei","159","61069","379804592943","Enshi","23","China"
"115","1378 Alvorada Avenue","","Distrito Federal","102","75834","272234298332","Caracas","104","Venezuela"
"116","793 Cam Ranh Avenue","","California","292","87057","824370924746","Lancaster","103","United States"
"117","1079 Tel Aviv-Jaffa Boulevard","","Sucre","132","10885","358178933857","Cumaná","104","Venezuela"
"118","442 Rae Bareli Place","","Nordrhein-Westfalen","148","24321","886636413768","Duisburg","38","Germany"
"119","1107 Nakhon Sawan Avenue","","Mxico","365","75149","867546627903","Nezahualcóyotl","60","Mexico"
"120","544 Malmö Parkway","","Central Java","403","63502","386759646229","Pemalang","45","Indonesia"
"121","1967 Sincelejo Place","","Gujarat","176","73644","577812616052","Gandhinagar","44","India"
"122","333 Goiânia Way","","Texas","185","78625","909029256431","Grand Prairie","103","United States"
"123","1987 Coacalco de Berriozábal Loop","","al-Qalyubiya","476","96065","787654415858","Shubra al-Khayma","29","Egypt"
"124","241 Mosul Lane","","Risaralda","147","76157","765345144779","Dos Quebradas","24","Colombia"
"125","211 Chiayi Drive","","Uttar Pradesh","164","58186","665993880048","Etawah","44","India"
"126","1175 Tanauan Way","","Lima","305","64615","937222955822","Lima","74","Peru"
"127","117 Boa Vista Way","","Uttar Pradesh","566","6804","677976133614","Varanasi (Benares)","44","India"
"128","848 Tafuna Manor","","Kütahya","281","45142","614935229095","Kütahya","97","Turkey"
"129","569 Baicheng Lane","","Gauteng","85","60304","490211944645","Boksburg","85","South Africa"
"130","1666 Qomsheh Drive","","São Paulo","410","66255","582835362905","Poá","15","Brazil"
"131","801 Hagonoy Drive","","Smolensk","484","8439","237426099212","Smolensk","80","Russian Federation"
"132","1050 Garden Grove Avenue","","Slaskie","236","4999","973047364353","Jastrzebie-Zdrój","76","Poland"
"133","1854 Tieli Street","","Shandong","302","15819","509492324775","Liaocheng","23","China"
"134","758 Junan Lane","","Gois","190","82639","935448624185","Águas Lindas de Goiás","15","Brazil"
"135","1752 São Leopoldo Parkway","","Taka-Karpatia","345","14014","252265130067","Mukatševe","100","Ukraine"
"136","898 Belém Manor","","Free State","87","49757","707169393853","Botshabelo","85","South Africa"
"137","261 Saint Louis Way","","Coahuila de Zaragoza","541","83401","321944036800","Torreón","60","Mexico"
"138","765 Southampton Drive","","al-Qalyubiya","421","4285","23712411567","Qalyub","29","Egypt"
"139","943 Johannesburg Avenue","","Maharashtra","417","5892","90921003005","Pune","44","India"
"140","788 Atšinsk Street","","Karnataka","211","81691","146497509724","Hubli-Dharwad","44","India"
"141","1749 Daxian Place","","Gelderland","29","11044","963369996279","Apeldoorn","67","Netherlands"
"142","1587 Sullana Lane","","Inner Mongolia","207","85769","468060467018","Hohhot","23","China"
"143","1029 Dzerzinsk Manor","","Ynlin","542","57519","33173584456","Touliu","92","Taiwan"
"144","1666 Beni-Mellal Place","","Tennessee","123","13377","9099941466","Clarksville","103","United States"
"145","928 Jaffna Loop","","Hiroshima","172","93762","581852137991","Fukuyama","50","Japan"
"146","483 Ljubertsy Parkway","","Scotland","149","60562","581174211853","Dundee","102","United Kingdom"
"147","374 Bat Yam Boulevard","","Kilis","266","97700","923261616249","Kilis","97","Turkey"
"148","1027 Songkhla Manor","","Minsk","340","30861","563660187896","Molodetšno","13","Belarus"
"149","999 Sanaa Loop","","Gauteng","491","3439","918032330119","Soshanguve","85","South Africa"
"150","879 Newcastle Way","","Michigan","499","90732","206841104594","Sterling Heights","103","United States"
"151","1337 Lincoln Parkway","","Saitama","555","99457","597815221267","Urawa","50","Japan"
"152","1952 Pune Lane","","Saint-Denis","442","92150","354615066969","Saint-Denis","79","Réunion"
"153","782 Mosul Street","","Massachusetts","94","25545","885899703621","Brockton","103","United States"
"154","781 Shimonoseki Drive","","Michoacn de Ocampo","202","95444","632316273199","Hidalgo","60","Mexico"
"155","1560 Jelets Boulevard","","Shandong","291","77777","189446090264","Laiwu","23","China"
"156","1963 Moscow Place","","Assam","354","64863","761379480249","Nagaon","44","India"
"157","456 Escobar Way","","Jakarta Raya","232","36061","719202533520","Jakarta","45","Indonesia"
"158","798 Cianjur Avenue","","Shanxi","590","76990","499408708580","Yuncheng","23","China"
"159","185 Novi Sad Place","","Bern","72","41778","904253967161","Bern","91","Switzerland"
"160","1367 Yantai Manor","","Ondo & Ekiti","381","21294","889538496300","Ondo","69","Nigeria"
"161","1386 Nakhon Sawan Boulevard","","Pyongyang-si","420","53502","368899174225","Pyongyang","70","North Korea"
"162","369 Papeete Way","","North Carolina","187","66639","170117068815","Greensboro","103","United States"
"163","1440 Compton Place","","North Austria","307","81037","931059836497","Linz","9","Austria"
"164","1623 Bahía Blanca Manor","","Moskova","310","81511","149981248346","Ljubertsy","80","Russian Federation"
"165","97 Shimoga Avenue","","Tel Aviv","533","44660","177167004331","Tel Aviv-Jaffa","48","Israel"
"166","1740 Le Mans Loop","","Pays de la Loire","297","22853","168476538960","Le Mans","34","France"
"167","1287 Xi´angfan Boulevard","","Gifu","253","57844","819416131190","Kakamigahara","50","Japan"
"168","842 Salzburg Lane","","Adana","529","3313","697151428760","Tarsus","97","Turkey"
"169","154 Tallahassee Loop","","Xinxiang","199","62250","935508855935","Hami","23","China"
"170","710 San Felipe del Progreso Avenue","","Lilongwe","304","76901","843801144113","Lilongwe","58","Malawi"
"171","1540 Wroclaw Drive","","Maharashtra","107","62686","182363341674","Chandrapur","44","India"
"172","475 Atšinsk Way","","Gansu","240","59571","201705577290","Jinchang","23","China"
"173","1294 Firozabad Drive","","Ji´angxi","407","70618","161801569569","Pingxiang","23","China"
"174","1877 Ezhou Lane","","Rajasthan","550","63337","264541743403","Udaipur","44","India"
"175","316 Uruapan Street","","Perak","223","58194","275788967899","Ipoh","59","Malaysia"
"176","29 Pyongyang Loop","","Batman","58","47753","734780743462","Batman","97","Turkey"
"177","1010 Klerksdorp Way","","Steiermark","186","6802","493008546874","Graz","9","Austria"
"178","1848 Salala Boulevard","","Miranda","373","25220","48265851133","Ocumare del Tuy","104","Venezuela"
"179","431 Xi´angtan Avenue","","Kerala","18","4854","230250973122","Allappuzha (Alleppey)","44","India"
"180","757 Rustenburg Avenue","","Skikda","483","89668","506134035434","Skikda","2","Algeria"
"181","146 Johannesburg Way","","Tamaulipas","330","54132","953689007081","Matamoros","60","Mexico"
"182","1891 Rizhao Boulevard","","São Paulo","456","47288","391065549876","Santa Bárbara d´Oeste","15","Brazil"
"183","1089 Iwatsuki Avenue","","Kirov","270","35109","866092335135","Kirovo-Tšepetsk","80","Russian Federation"
"184","1410 Benin City Parkway","","Risaralda","405","29747","104150372603","Pereira","24","Colombia"
"185","682 Garden Grove Place","","Tennessee","333","67497","72136330362","Memphis","103","United States"
"186","533 al-Ayn Boulevard","","California","126","8862","662227486184","Compton","103","United States"
"187","1839 Székesfehérvár Parkway","","Gois","317","55709","947468818183","Luziânia","15","Brazil"
"188","741 Ambattur Manor","","Noord-Brabant","438","43310","302590383819","´s-Hertogenbosch","67","Netherlands"
"189","927 Barcelona Street","","Chaharmahal va Bakht","467","65121","951486492670","Shahr-e Kord","46","Iran"
"190","435 0 Way","","West Bengali","195","74750","760171523969","Haldia","44","India"
"191","140 Chiayi Parkway","","Sumy","506","38982","855863906434","Sumy","100","Ukraine"
"192","1166 Changhwa Street","","Caraga","62","58852","650752094490","Bayugan","75","Philippines"
"193","891 Novi Sad Manor","","Ontario","383","5379","247646995453","Oshawa","20","Canada"
"194","605 Rio Claro Parkway","","Tabora","513","49348","352469351088","Tabora","93","Tanzania"
"195","1077 San Felipe de Puerto Plata Place","","Rostov-na-Donu","369","65387","812824036424","Novotšerkassk","80","Russian Federation"
"196","9 San Miguel de Tucumán Manor","","Uttar Pradesh","169","90845","956188728558","Firozabad","44","India"
"197","447 Surakarta Loop","","Nyanza","271","10428","940830176580","Kisumu","52","Kenya"
"198","345 Oshawa Boulevard","","Tokyo-to","204","32114","104491201771","Hino","50","Japan"
"199","1792 Valle de la Pascua Place","","Nordrhein-Westfalen","477","15540","419419591240","Siegen","38","Germany"
"200","1074 Binzhou Manor","","Baden-Wrttemberg","325","36490","331132568928","Mannheim","38","Germany"
"201","817 Bradford Loop","","Ji´angsu","109","89459","264286442804","Changzhou","23","China"
"202","955 Bamenda Way","","Ondo & Ekiti","218","1545","768481779568","Ikerre","69","Nigeria"
"203","1149 A Coruña (La Coruña) Boulevard","","Haiphong","194","95824","470884141195","Haiphong","105","Vietnam"
"204","387 Mwene-Ditu Drive","","Ahal","35","8073","764477681869","Ashgabat","98","Turkmenistan"
"205","68 Molodetšno Manor","","Nordrhein-Westfalen","575","4662","146640639760","Witten","38","Germany"
"206","642 Nador Drive","","Maharashtra","77","3924","369050085652","Bhusawal","44","India"
"207","1688 Nador Lane","","Sulawesi Utara","184","61613","652218196731","Gorontalo","45","Indonesia"
"208","1215 Pyongyang Parkway","","Usak","557","25238","646237101779","Usak","97","Turkey"
"209","1679 Antofagasta Street","","Alto Paran","122","86599","905903574913","Ciudad del Este","73","Paraguay"
"210","1304 ´s-Hertogenbosch Way","","Santa Catarina","83","10925","90336226227","Blumenau","15","Brazil"
"211","850 Salala Loop","","Kitaa","371","10800","403404780639","Nuuk","40","Greenland"
"212","624 Oshawa Boulevard","","West Bengali","51","89959","49677664184","Balurghat","44","India"
"213","43 Dadu Avenue","","Rajasthan","74","4855","95666951770","Bhilwara","44","India"
"214","751 Lima Loop","","Aden","7","99405","756460337785","Aden","107","Yemen"
"215","1333 Haldia Street","","Jilin","174","82161","408304391718","Fuyu","23","China"
"216","660 Jedda Boulevard","","Washington","65","25053","168758068397","Bellevue","103","United States"
"217","1001 Miyakonojo Lane","","Taizz","518","67924","584316724815","Taizz","107","Yemen"
"218","226 Brest Manor","","California","508","2299","785881412500","Sunnyvale","103","United States"
"219","1229 Valencia Parkway","","Haskovo","498","99124","352679173732","Stara Zagora","17","Bulgaria"
"220","1201 Qomsheh Manor","","Gois","28","21464","873492228462","Aparecida de Goiânia","15","Brazil"
"221","866 Shivapuri Manor","","Uttar Pradesh","448","22474","778502731092","Sambhal","44","India"
"222","1168 Najafabad Parkway","","Kabol","251","40301","886649065861","Kabul","1","Afghanistan"
"223","1244 Allappuzha (Alleppey) Place","","Buenos Aires","567","20657","991802825778","Vicente López","6","Argentina"
"224","1842 Luziânia Boulevard","","Zanzibar West","593","94420","706878974831","Zanzibar","93","Tanzania"
"225","1926 Gingoog Street","","Sisilia","511","22824","469738825391","Syrakusa","49","Italy"
"226","810 Palghat (Palakkad) Boulevard","","Jaroslavl","235","73431","516331171356","Jaroslavl","80","Russian Federation"
"227","1820 Maringá Parkway","","Punjab","324","88307","99760893676","Mandi Bahauddin","72","Pakistan"
"228","60 Poços de Caldas Street","","Rajasthan","243","82338","963063788669","Jodhpur","44","India"
"229","1014 Loja Manor","","Tamil Nadu","22","66851","460795526514","Ambattur","44","India"
"230","201 Effon-Alaiye Way","","Asunción","37","64344","684192903087","Asunción","73","Paraguay"
"231","430 Alessandria Loop","","Saarland","439","47446","669828224459","Saarbrücken","38","Germany"
"232","754 Valencia Place","","Phnom Penh","406","87911","594319417514","Phnom Penh","18","Cambodia"
"233","356 Olomouc Manor","","Gois","26","93323","22326410776","Anápolis","15","Brazil"
"234","1256 Bislig Boulevard","","Botosani","86","50598","479007229460","Botosani","78","Romania"
"235","954 Kimchon Place","","West Bengali","559","42420","541327526474","Uttarpara-Kotrung","44","India"
"236","885 Yingkou Manor","","Kaduna","596","31390","588964509072","Zaria","69","Nigeria"
"237","1736 Cavite Place","","Qina","216","98775","431770603551","Idfu","29","Egypt"
"238","346 Skikda Parkway","","Hawalli","233","90628","630424482919","Jalib al-Shuyukh","53","Kuwait"
"239","98 Stara Zagora Boulevard","","Valle","96","76448","610173756082","Buenaventura","24","Colombia"
"240","1479 Rustenburg Boulevard","","Southern Tagalog","527","18727","727785483194","Tanza","75","Philippines"
"241","647 A Coruña (La Coruña) Street","","Chollanam","357","36971","792557457753","Naju","86","South Korea"
"242","1964 Gijón Manor","","Karnataka","473","14408","918119601885","Shimoga","44","India"
"243","47 Syktyvkar Lane","","West Java","118","22236","63937119031","Ciomas","45","Indonesia"
"244","1148 Saarbrücken Parkway","","Fukushima","226","1921","137773001988","Iwaki","50","Japan"
"245","1103 Bilbays Parkway","","Hubei","578","87660","279979529227","Xi´angfan","23","China"
"246","1246 Boksburg Parkway","","Hebei","422","28349","890283544295","Qinhuangdao","23","China"
"247","1483 Pathankot Street","","Tucumn","454","37288","686015532180","San Miguel de Tucumán","6","Argentina"
"248","582 Papeete Loop","","Central Visayas","294","27722","569868543137","Lapu-Lapu","75","Philippines"
"249","300 Junan Street","","Kyonggi","553","81314","890289150158","Uijongbu","86","South Korea"
"250","829 Grand Prairie Way","","Paraná","328","6461","741070712873","Maringá","15","Brazil"
"251","1473 Changhwa Parkway","","Mxico","124","75933","266798132374","Coacalco de Berriozábal","60","Mexico"
"252","1309 Weifang Street","","Florida","520","57338","435785045362","Tallahassee","103","United States"
"253","1760 Oshawa Manor","","Tianjin","535","38140","56257502250","Tianjin","23","China"
"254","786 Stara Zagora Way","","Oyo & Osun","390","98332","716256596301","Oyo","69","Nigeria"
"255","1966 Tonghae Street","","Anhalt Sachsen","198","36481","567359279425","Halle/Saale","38","Germany"
"256","1497 Yuzhou Drive","","England","312","3433","246810237916","London","102","United Kingdom"
"258","752 Ondo Loop","","Miyazaki","338","32474","134673576619","Miyakonojo","50","Japan"
"259","1338 Zalantun Lane","","Minas Gerais","413","45403","840522972766","Poços de Caldas","15","Brazil"
"260","127 Iwakuni Boulevard","","Central Luzon","192","20777","987442542471","Hagonoy","75","Philippines"
"261","51 Laredo Avenue","","Sagaing","342","68146","884536620568","Monywa","64","Myanmar"
"262","771 Yaoundé Manor","","Sofala","64","86768","245477603573","Beira","63","Mozambique"
"263","532 Toulon Street","","Santiago","460","69517","46871694740","Santiago de los Caballeros","27","Dominican Republic"
"264","1027 Banjul Place","","West Bengali","197","50390","538241037443","Halisahar","44","India"
"265","1158 Mandi Bahauddin Parkway","","Shanxi","136","98484","276555730211","Datong","23","China"
"266","862 Xintai Lane","","Cagayan Valley","548","30065","265153400632","Tuguegarao","75","Philippines"
"267","816 Cayenne Parkway","","Manab","414","93629","282874611748","Portoviejo","28","Ecuador"
"268","1831 Nam Dinh Loop","","National Capital Reg","323","51990","322888976727","Mandaluyong","75","Philippines"
"269","446 Kirovo-Tšepetsk Lane","","Osaka","203","19428","303967439816","Higashiosaka","50","Japan"
"270","682 Halisahar Place","","Severn Morava","378","20536","475553436330","Olomouc","26","Czech Republic"
"271","1587 Loja Manor","","Salzburg","447","5410","621625204422","Salzburg","9","Austria"
"272","1762 Paarl Parkway","","Hunan","298","53928","192459639410","Lengshuijiang","23","China"
"273","1519 Ilorin Place","","Kerala","395","49298","357445645426","Palghat (Palakkad)","44","India"
"274","920 Kumbakonam Loop","","California","446","75090","685010736240","Salinas","103","United States"
"275","906 Goiânia Way","","Wielkopolskie","255","83565","701767622697","Kalisz","76","Poland"
"276","1675 Xi´angfan Manor","","Tamil Nadu","283","11763","271149517630","Kumbakonam","44","India"
"277","85 San Felipe de Puerto Plata Drive","","Shandong","584","46063","170739645687","Yantai","23","China"
"278","144 South Hill Loop","","Guanajuato","445","2012","45387294817","Salamanca","60","Mexico"
"279","1884 Shikarpur Avenue","","Haryana","263","85548","959949395183","Karnal","44","India"
"280","1980 Kamjanets-Podilskyi Street","","Illinois","404","89502","874337098891","Peoria","103","United States"
"281","1944 Bamenda Way","","Michigan","573","24645","75975221996","Warren","103","United States"
"282","556 Baybay Manor","","Oyo & Osun","374","55802","363982224739","Ogbomosho","69","Nigeria"
"283","457 Tongliao Loop","","Bursa","222","56254","880756161823","Inegöl","97","Turkey"
"284","600 Bradford Street","","East Azerbaidzan","514","96204","117592274996","Tabriz","46","Iran"
"285","1006 Santa Bárbara d´Oeste Manor","","Ondo & Ekiti","389","36229","85059738746","Owo","69","Nigeria"
"286","1308 Sumy Loop","","Fujian","175","30657","583021225407","Fuzhou","23","China"
"287","1405 Chisinau Place","","Ponce","411","8160","62781725285","Ponce","77","Puerto Rico"
"288","226 Halifax Street","","Xinxiang","277","58492","790651020929","Korla","23","China"
"289","1279 Udine Parkway","","Edo & Delta","69","75860","195003555232","Benin City","69","Nigeria"
"290","1336 Benin City Drive","","Shiga","386","46044","341242939532","Otsu","50","Japan"
"291","1155 Liaocheng Place","","Oyo & Osun","152","22650","558236142492","Effon-Alaiye","69","Nigeria"
"292","1993 Tabuk Lane","","Tamil Nadu","522","64221","648482415405","Tambaram","44","India"
"293","86 Higashiosaka Lane","","Guanajuato","563","33768","957128697225","Valle de Santiago","60","Mexico"
"294","1912 Allende Manor","","Kowloon and New Kowl","279","58124","172262454487","Kowloon and New Kowloon","42","Hong Kong"
